Actions,Actions Url,WIID,Description,Type,Status,Date
,https://acme-test.uipath.com/work-items/98055908,98055908,Generate Yearly Report for Vendor,WI4,Open,2022-11-12
,https://acme-test.uipath.com/work-items/98055952,98055952,Verify Account Position,WI1,Open,2018-05-04
,https://acme-test.uipath.com/work-items/98055902,98055902,Generate Yearly Report for Vendor,WI4,Open,2022-02-07
,https://acme-test.uipath.com/work-items/98055918,98055918,Process Vendor Invoice,WI3,Open,2018-11-04
,https://acme-test.uipath.com/work-items/98055924,98055924,Process Vendor Invoice,WI3,Open,2023-02-22
,https://acme-test.uipath.com/work-items/98055953,98055953,Verify Account Position,WI1,Open,2023-05-21
,https://acme-test.uipath.com/work-items/98055889,98055889,Calculate Client Security Hash,WI5,Open,2020-07-03
,https://acme-test.uipath.com/work-items/98055893,98055893,Calculate Client Security Hash,WI5,Open,2023-03-31
,https://acme-test.uipath.com/work-items/98055935,98055935,Research Client Check Copy,WI2,Open,2017-06-28
,https://acme-test.uipath.com/work-items/98055936,98055936,Research Client Check Copy,WI2,Open,2019-10-11
,https://acme-test.uipath.com/work-items/98055919,98055919,Process Vendor Invoice,WI3,Open,2017-08-13
,https://acme-test.uipath.com/work-items/98055938,98055938,Research Client Check Copy,WI2,Open,2021-11-28
,https://acme-test.uipath.com/work-items/98055905,98055905,Generate Yearly Report for Vendor,WI4,Open,2017-12-20
,https://acme-test.uipath.com/work-items/98055958,98055958,Verify Account Position,WI1,Open,2024-01-30
,https://acme-test.uipath.com/work-items/98055916,98055916,Process Vendor Invoice,WI3,Open,2020-01-21
,https://acme-test.uipath.com/work-items/98055947,98055947,Verify Account Position,WI1,Open,2017-10-15
,https://acme-test.uipath.com/work-items/98055913,98055913,Generate Yearly Report for Vendor,WI4,Open,2022-09-25
,https://acme-test.uipath.com/work-items/98055892,98055892,Calculate Client Security Hash,WI5,Open,2019-09-08
,https://acme-test.uipath.com/work-items/98055922,98055922,Process Vendor Invoice,WI3,Open,2023-07-08
,https://acme-test.uipath.com/work-items/98055907,98055907,Generate Yearly Report for Vendor,WI4,Open,2023-09-19
,https://acme-test.uipath.com/work-items/98055946,98055946,Verify Account Position,WI1,Open,2018-05-15
,https://acme-test.uipath.com/work-items/98055911,98055911,Generate Yearly Report for Vendor,WI4,Open,2020-12-19
,https://acme-test.uipath.com/work-items/98055904,98055904,Generate Yearly Report for Vendor,WI4,Open,2022-07-15
,https://acme-test.uipath.com/work-items/98055928,98055928,Process Vendor Invoice,WI3,Open,2023-07-14
,https://acme-test.uipath.com/work-items/98055926,98055926,Process Vendor Invoice,WI3,Open,2021-01-28
,https://acme-test.uipath.com/work-items/98055896,98055896,Calculate Client Security Hash,WI5,Open,2022-05-03
,https://acme-test.uipath.com/work-items/98055906,98055906,Generate Yearly Report for Vendor,WI4,Open,2022-10-01
,https://acme-test.uipath.com/work-items/98055945,98055945,Research Client Check Copy,WI2,Open,2022-11-18
,https://acme-test.uipath.com/work-items/98055954,98055954,Verify Account Position,WI1,Open,2022-09-30
,https://acme-test.uipath.com/work-items/98055957,98055957,Verify Account Position,WI1,Open,2022-02-27
,https://acme-test.uipath.com/work-items/98055898,98055898,Calculate Client Security Hash,WI5,Open,2023-03-30
,https://acme-test.uipath.com/work-items/98055909,98055909,Generate Yearly Report for Vendor,WI4,Open,2021-11-24
,https://acme-test.uipath.com/work-items/98055888,98055888,Calculate Client Security Hash,WI5,Open,2021-04-03
,https://acme-test.uipath.com/work-items/98055950,98055950,Verify Account Position,WI1,Open,2021-09-12
,https://acme-test.uipath.com/work-items/98055891,98055891,Calculate Client Security Hash,WI5,Open,2017-06-01
,https://acme-test.uipath.com/work-items/98055934,98055934,Research Client Check Copy,WI2,Open,2021-09-16
,https://acme-test.uipath.com/work-items/98055925,98055925,Process Vendor Invoice,WI3,Open,2022-09-23
,https://acme-test.uipath.com/work-items/98055944,98055944,Research Client Check Copy,WI2,Open,2021-07-31
,https://acme-test.uipath.com/work-items/98055917,98055917,Process Vendor Invoice,WI3,Open,2022-04-12
,https://acme-test.uipath.com/work-items/98055903,98055903,Generate Yearly Report for Vendor,WI4,Open,2018-07-21
,https://acme-test.uipath.com/work-items/98055940,98055940,Research Client Check Copy,WI2,Open,2023-11-01
,https://acme-test.uipath.com/work-items/98055923,98055923,Process Vendor Invoice,WI3,Open,2020-03-24
,https://acme-test.uipath.com/work-items/98055897,98055897,Calculate Client Security Hash,WI5,Open,2020-03-14
,https://acme-test.uipath.com/work-items/98055941,98055941,Research Client Check Copy,WI2,Open,2017-06-11
,https://acme-test.uipath.com/work-items/98055961,98055961,Verify Account Position,WI1,Open,2018-10-31
,https://acme-test.uipath.com/work-items/98055901,98055901,Generate Yearly Report for Vendor,WI4,Open,2020-09-10
,https://acme-test.uipath.com/work-items/98055912,98055912,Generate Yearly Report for Vendor,WI4,Open,2022-08-19
,https://acme-test.uipath.com/work-items/98055921,98055921,Process Vendor Invoice,WI3,Open,2017-03-10
,https://acme-test.uipath.com/work-items/98055920,98055920,Process Vendor Invoice,WI3,Open,2021-12-20
,https://acme-test.uipath.com/work-items/98055895,98055895,Calculate Client Security Hash,WI5,Open,2024-01-15
,https://acme-test.uipath.com/work-items/98055927,98055927,Process Vendor Invoice,WI3,Open,2019-07-07
,https://acme-test.uipath.com/work-items/98055929,98055929,Research Client Check Copy,WI2,Open,2017-03-06
,https://acme-test.uipath.com/work-items/98055930,98055930,Research Client Check Copy,WI2,Open,2020-01-08
,https://acme-test.uipath.com/work-items/98055890,98055890,Calculate Client Security Hash,WI5,Open,2024-01-11
,https://acme-test.uipath.com/work-items/98055933,98055933,Research Client Check Copy,WI2,Open,2018-06-17
,https://acme-test.uipath.com/work-items/98055937,98055937,Research Client Check Copy,WI2,Open,2020-02-24
,https://acme-test.uipath.com/work-items/98055931,98055931,Research Client Check Copy,WI2,Open,2017-01-21
,https://acme-test.uipath.com/work-items/98055955,98055955,Verify Account Position,WI1,Open,2021-11-10
,https://acme-test.uipath.com/work-items/98055899,98055899,Generate Yearly Report for Vendor,WI4,Open,2023-11-07
,https://acme-test.uipath.com/work-items/98055956,98055956,Verify Account Position,WI1,Open,2022-08-08
,https://acme-test.uipath.com/work-items/98055951,98055951,Verify Account Position,WI1,Open,2023-11-14
,https://acme-test.uipath.com/work-items/98055942,98055942,Research Client Check Copy,WI2,Open,2017-10-18
,https://acme-test.uipath.com/work-items/98055915,98055915,Process Vendor Invoice,WI3,Open,2021-01-19
,https://acme-test.uipath.com/work-items/98055948,98055948,Verify Account Position,WI1,Open,2017-12-18
,https://acme-test.uipath.com/work-items/98055939,98055939,Research Client Check Copy,WI2,Open,2021-02-26
,https://acme-test.uipath.com/work-items/98055949,98055949,Verify Account Position,WI1,Open,2017-05-06
,https://acme-test.uipath.com/work-items/98055960,98055960,Verify Account Position,WI1,Open,2019-12-18
,https://acme-test.uipath.com/work-items/98055959,98055959,Verify Account Position,WI1,Open,2017-06-27
